sample_ID,POINT_ID,coarse,clay,silt,sand,pH_in_H2O,pH_in_CaCl,OC,CaCO3,N,P,K,CEC,GPS_LAT,GPS_LONG,MAT,RAIN,Ndep_WD_tx,EROS,WT,LU,s_c_prc,OC_pom_g_kg,OC_sc_g_kg,OC_tf,N_tf,N_pom_g_kg,N_sc_g_kg
377,47222780,25,43,51,5,5.42,4.59,68.2,1,4.2,5,127,27.9,48.00218,15.37632,7.721980416,862.8117034,15.06999969,6.246419872,-74.17083682,FR,91.913,15.315,47.664,62.979,4.345,0.652,3.693
240,46902756,15,31,67,2,5.2,4.7,22.5,3,2.6,5,100.8,7.4,47.80693,14.92761,7.086383019,941.8888791,13,5.162403782,-65.64444796,GR,97.292,2.176,18.057,20.234,2.585,0.171,2.414
464,45782636,28,4,16,80,6.96,6.58,24,6,2.2,36.2,57.1,9,46.78484,13.3626,7.821578967,1361.096455,7.070000172,14.10440461,-61.68625812,FR,21.557,12.69,12.402,25.092,2.308,0.846,1.462
257,47722672,1,32,54,14,6.19,5.81,14,0.5,1.5,17.2,171,20.7,46.9993,15.93201,9.155331312,809.9767824,14.14000034,17.63832868,-17.62691121,CR,83.896,2.765,9.279,12.044,1.518,0.199,1.32
133,45362782,21,16,38,46,4.14,3.4,84.5,0.5,4.3,27.4,108.2,9.9,48.11377,12.88688,8.36731667,1110.457803,23.63999939,0.024667641,-2.807792318,FR,40.767,43.806,28.692,72.497,4.086,2.199,1.887
149,45542694,10,17,47,36,6.16,5.75,36.6,2,3.7,11.8,89.5,9.5,47.31598,13.08048,6.726085388,1156.502555,6.340000153,3.200640467,-108.9662184,GR,58.913,10.978,22.122,33.1,4.068,1.107,2.961
122,45342706,8,27,55,18,6.16,5.66,24.5,1,2.9,5,41.1,11.8,47.43106,12.82209,7.367535134,1244.222387,20.72999954,3.436292447,-70.04180061,GR,84.655,3.7,19.953,23.653,3.326,0.285,3.042
127,45322702,14,26,34,40,5.31,4.92,51.5,0.5,6.1,47.7,426.1,8.5,47.39576,12.79371,6.57967392,1171.47659,20.72999954,7.497984737,-41.33551922,GR,40.682,24.592,26.264,50.856,6.772,3.063,3.709
563,38083120,4,15,52,33,6.97,6.38,12.3,1,1.4,117.1,185,12.4,50.96021,2.6844,10.00662676,704.3725963,17.86000061,1.009893942,-3.061278664,CR,62.197,1.832,9.976,11.808,1.43,0.157,1.273
756,46762950,16,12,29,59,5.48,4.81,14.2,1,1.5,23.8,165.5,6.9,49.55605,14.90981,7.171524782,612.815073,12.31999969,1.10600442,-31.33476803,CR,41.014,3.011,11.033,14.043,1.763,0.341,1.422
966,46243032,10,27,69,4,7.67,7.16,17.5,16,1.6,34,164,23.3,50.32087,14.25701,8.695648979,531.5558904,11.77000046,0.481583061,-25.74594451,CR,96.014,1.945,16.726,18.671,1.661,0.127,1.533
778,46682946,22,10,29,60,5.69,5.43,14.3,0.5,1.6,53.5,298.4,6.8,49.52491,14.79585,7.984272289,571.0208153,12.31999969,2.48362343,-14.51588962,CR,42.275,4.391,13.316,17.707,1.927,0.341,1.586
723,46242910,10,48,29,24,6.78,6.06,41.8,3,3.8,15.6,145.4,34.5,49.22592,14.16132,8.475553127,688.1868954,12.03999996,1.674008159,-2.404015915,GR,69.508,12.494,34.233,46.727,5.053,0.987,4.066
717,46142896,13,19,37,44,6.21,5.81,24.4,1,2.3,56.9,730.3,16.1,49.10496,14.01456,7.806065959,817.939249,12.86999989,6.506296397,-43.9563829,GR,54.59,6.259,18.173,24.432,2.69,0.477,2.213
970,46103050,9,28,67,6,7.69,7.32,21.7,17,1.9,24.7,189.4,24.5,50.48956,14.0746,9.054299214,587.3621001,12.93999958,0.777774186,-22.05414483,CR,93.022,2.345,19.829,22.174,1.951,0.162,1.789
973,46043058,20,40,53,7,6.46,6.15,32.9,1,3.3,11.7,187.6,37.5,50.56432,13.99625,7.835015036,638.0407192,12.93999958,0.32595319,-32.36527418,GR,91.842,2.956,31.401,34.357,3.875,0.234,3.641
674,47903018,7,15,39,46,5.2,4.51,22.6,0.5,2.3,12.1,181.1,7.9,50.08537,16.56254,6.630104537,604.7909755,12.18999958,3.171301027,-54.37106293,GR,49.797,4.033,15.123,19.157,2.176,0.415,1.761
1079,47443056,4,17,69,15,5.4,4.83,22.6,0.5,2.2,10.8,64.3,8.4,50.46087,15.96429,6.831464163,575.0827846,11.35999966,4.223897069,-26.57834616,GR,84.092,3.618,16.625,20.243,2.179,0.226,1.953
1067,47123044,4,21,73,6,6.94,6.56,12.2,1,1.3,51,83.6,14.5,50.37587,15.50214,8.177382309,518.0862747,12.46000004,0.952338828,-3.776897044,CR,92.469,1.623,9.256,10.879,1.41,0.118,1.292
992,46643090,10,14,70,16,4.91,4.16,18.9,0.5,1.7,5,53.1,3.3,50.81874,14.87126,7.725042972,702.2869476,13.14000034,2.168691075,-33.805828,GR,82.318,1.496,13.862,15.358,1.758,0.092,1.666
848,48802898,8,51,38,11,7.65,7.2,24.5,108,2.9,160.6,2747.4,31.8,48.93387,17.64291,8.255475834,686.0847315,12.27999973,2.713836196,-41.67789827,GR,90.603,5.399,20.944,26.343,3.369,0.504,2.865
786,48803000,19,20,56,24,6.29,5.76,18.9,1,1.8,27.5,151.7,9.2,49.84538,17.78768,7.405947333,719.2865916,11.84000015,2.142895652,-13.33591565,CR,78.761,2.635,15.508,18.143,1.971,0.214,1.756
2048,42782902,13,18,80,3,6.4,5.91,11.6,1,1.3,56.3,253,10.8,49.2295,9.40977,9.6264751,810.6807737,14.60999966,2.113394266,-27.67577184,CR,96.634,1.414,8.604,10.018,1.223,0.09,1.134
1648,42282892,17,17,80,3,7.91,7.36,12.4,94,1,13.4,133.6,15,49.13399,8.7268,9.875438596,825.7738639,14.72999954,2.11593829,-36.24163207,CR,99.334,2.222,22.563,24.786,3.316,0.162,3.155
3082,41602784,3,16,81,4,7.86,7.26,12.5,137,1.2,11.4,180.9,12.4,48.14836,7.837,9.785809129,1002.69755,13.18999958,1.888808494,-25.52889618,GR,95.285,1.265,7.247,8.512,1.028,0.118,0.91
2060,43982888,6,38,48,14,6.4,5.94,26.3,0.5,2.7,37.4,257.7,21.5,49.10019,11.05419,8.243230277,758.7083655,16.37999916,1.785327337,-41.77894366,GR,85.078,1.746,22.103,23.849,2.772,0.144,2.628
2139,43502764,10,30,34,36,6.3,5.92,35.7,0.5,3.5,18.7,178.1,22.6,47.9889,10.38831,7.748357838,1092.480982,20.36000061,0.316134935,-4.122639488,GR,58.408,7.203,24.274,31.477,3.798,0.715,3.083
2513,43362748,9,21,34,45,5.53,5.2,29.4,1,2.8,41,196.4,12.6,47.84542,10.20029,7.469396165,1269.170371,22.73999977,2.415167388,-117.4471156,GR,51.15,7.105,21.859,28.963,3.218,0.591,2.628
2540,46023334,9,16,27,57,7.52,7.11,10.3,10,1.1,14.6,142.7,12.1,53.04146,14.19191,8.736118107,521.5841425,11.10999966,0.795951932,-24.02871953,CR,43.186,1.734,8.797,10.531,1.102,0.094,1.008
1232,45683350,6,4,15,80,5.78,4.81,7.2,0.5,0.7,59.7,0,3.1,53.20157,13.69784,8.444022461,541.3189431,11.10999966,0.931293717,-2.389697215,CR,23.916,1.73,5.295,7.025,0.728,0.15,0.578
2532,45703230,6,2,4,93,6.16,5.46,7.4,0.5,0.6,39.4,12.5,3.5,52.12389,13.63739,9.059740376,554.766467,13.97999954,0.091296524,-8.51115819,GR,10.8,2.032,6.302,8.334,0.838,0.258,0.58
2917,44963220,4,5,18,77,4.11,3.45,33.5,0.5,1.5,5,26.7,7.1,52.06236,12.5523,8.781031864,587.5036573,12.47999954,0.21849427,-13.47015083,FR,24.971,9.02,12.168,21.188,1.076,0.443,0.633
40007,42362968,8,16,70,14,7.5,7.05,12.7,59,1.2,34.9,257.7,12.9,49.81839,8.81896,9.746871917,812.9129702,17.12000084,3.657874671,-21.0561816,CR,82.046,2.052,10.045,12.097,1.08,0.111,0.969
2214,42763084,5,9,24,67,4.5,4.08,15.1,0.5,1,10,47.3,5.7,50.86574,9.3608,8.229697707,715.4165574,15.47999954,3.500367771,-71.91730946,FR,32.622,2.5,10.726,13.226,0.856,0.167,0.689
1243,45303412,4,14,23,63,5.61,5.18,18.1,1,2,10.9,80.4,12,53.77414,13.1707,8.102467145,568.2973999,11.36999989,0.526162992,-6.792784746,FR,38.521,2.505,16.375,18.88,2.319,0.284,2.035
1225,44923354,4,2,7,91,5.89,5.33,6.2,0.5,0.9,36,37.8,3.7,53.26738,12.56336,8.33208588,584.5118045,12.75,0.213633765,-6.627442852,FR,12.117,1.871,4.742,6.613,0.695,0.203,0.492
1401,44603400,13,3,6,91,6.7,6.24,6.3,2,0.6,40.3,64.2,3.2,53.68931,12.1041,8.460821779,578.9101517,13.11999989,0.452766234,-6.905521839,CR,12.519,2.039,4.434,6.473,0.622,0.126,0.496
3031,43443256,4,3,11,86,6.33,6.19,5.2,1,0.6,47.4,237.1,4.7,52.41298,10.338,9.229503001,645.2310861,12.68999958,0.272154343,-1.351869297,CR,14.814,1.737,3.632,5.37,0.596,0.228,0.368
2472,43103214,2,35,61,4,6.15,5.86,39.4,2,2.6,16.3,124.7,24.5,52.03585,9.83974,8.507228083,908.7374094,15.81000042,0.02190472,-50.98325553,FR,95.122,11.162,23.942,35.105,2.884,0.444,2.44
2629,42663262,15,24,31,45,7.76,7.3,25.7,323,2.7,10,161.1,4.7,52.46461,9.1915,9.444506651,727.8434083,17.88999939,0.317912333,-24.25652335,FR,52.904,7.033,21.323,28.356,2.856,0.6,2.256
40034,44023318,2,8,23,69,6.11,5.49,17.6,0.5,1.6,30.3,153.1,9.3,52.96451,11.20552,9.197708407,535.2023455,14.63000011,0.162018356,-1.423811517,CR,31.649,2.614,16.875,19.489,2.056,0.206,1.851
